date,power
2011-08-09,99.60000000000001
2011-02-15,33.0
2011-09-06,30.299999999999997
2011-11-03,28.5
2011-09-24,27.400000000000002
2011-09-07,26.0
2011-09-22,21.400000000000002
2011-03-09,21.400000000000002
2011-08-04,13.4
2011-07-30,13.4
2011-09-25,10.700000000000001
2011-09-24,10.2
2011-09-08,9.61
2011-02-18,9.61
2011-02-13,9.49
2011-08-03,8.71
2011-09-24,8.37
2011-09-06,7.71
2011-03-08,7.57
2011-09-25,6.43
2011-03-08,6.29
2011-11-02,6.21
2011-03-14,6.0
2011-09-26,5.85
2011-12-25,5.77
2011-10-02,5.64
2011-11-05,5.44
2011-09-25,5.39
2011-03-07,5.29
2011-08-08,5.05
2011-02-24,5.04
2011-09-04,4.65
2011-09-24,4.56
2011-09-25,4.54
2011-09-24,4.43
2011-09-24,4.09
2011-09-09,3.86
2011-09-26,3.77
2011-11-03,3.72
2011-08-09,3.67
2011-06-07,3.65
2011-12-31,3.51
2011-12-26,3.43
2011-02-14,3.27
2011-09-25,3.19
2011-11-03,3.11
2011-12-29,3.0
2011-09-23,2.85
2011-11-15,2.81
2011-12-29,2.78
